Model,Order,MAPE (%),RMSE (TWh),MAE (TWh),R²,AIC
ARIMA,"(3, 2, 1)",10.08,287.79,213.19,0.2011,381.01
ARIMAX,"(5, 2, 2)",5.9,144.03,117.6,0.7999,380.53
