Model,MAPE_%,RMSE_TWh,MAE_TWh,R²,AIC
"ARIMA(3,2,1)",9.37,276.13,199.2,0.2645,353.97
"ARIMAX(3,2,1)+GDP",5.21,171.19,111.71,0.7173,341.64
