Order,p,d,q,Split,Split_Ratio,Train_Size,Test_Size,MAPE,MAE,RMSE,R2,AIC,BIC,Converged,Status
"(2, 2, 5)",2,2,5,70:30,0.7,42,18,6.559236847170502,126.83767770299649,150.56529769096213,0.7813249695906719,312.78135783199195,326.5186025535374,True,Success
"(2, 2, 5)",2,2,5,75:25,0.75,45,15,6.550414318143921,131.99168554907558,149.62987392114476,0.7432075877412101,349.84454924223996,364.34281045603797,True,Success
"(2, 2, 5)",2,2,5,80:19,0.8,48,12,21.093226333879336,419.5231963836325,442.51617859507604,-1.1277950171052131,378.3506686979521,393.5505837849775,True,Success
"(2, 2, 5)",2,2,5,85:15,0.85,51,9,11.966435333519001,279.1276434640334,365.7739438719129,-0.46951712624405983,441.48681121829605,457.3376122595381,True,Success
"(3, 2, 1)",3,2,1,70:30,0.7,42,18,5.205514638166283,111.71408960908173,171.19619095091008,0.7172923136324336,341.63940760162717,351.3049150774925,True,Success
"(3, 2, 1)",3,2,1,75:25,0.75,45,15,5.632397386414638,122.68051794962618,175.27987187658596,0.6476212901307212,369.47295483322677,379.6062315579104,True,Success
"(3, 2, 1)",3,2,1,80:19,0.8,48,12,23.52848954859963,473.4742331854762,498.3452710139756,-1.6985605286424228,409.0874923932731,419.6546930874345,True,Success
"(3, 2, 1)",3,2,1,85:15,0.85,51,9,8.825251796757946,200.42442304452192,247.28241163268072,0.32836150942645004,475.55828745380944,486.530135832744,True,Success
"(3, 2, 4)",3,2,4,70:30,0.7,42,18,7.190287654246129,137.18342085435307,178.48434035053373,0.6927091290936764,329.8787234998844,343.87685605328915,True,Success
"(3, 2, 4)",3,2,4,75:25,0.75,45,15,8.225770020969666,161.483500380476,196.1956636703319,0.5585064372473125,351.6372424353809,366.3755178729184,True,Success
"(3, 2, 4)",3,2,4,80:19,0.8,48,12,32.210905857364494,658.6675501043507,693.3153616635174,-4.2231575578891976,389.1225500332824,404.5446986336211,True,Success
"(3, 2, 4)",3,2,4,85:15,0.85,51,9,21.921230139971026,503.12429742770775,618.8732804481755,-3.2068069924137,450.53688160793155,466.5945883131959,True,Success
