Order,p,d,q,MAPE,R2,MAE,RMSE,AIC,BIC,Converged,No_Autocorr,N_Params,Status
"(1, 1, 1)",1,1,1,5.287611127690962,0.7839797322748492,109.9744376093758,149.6485590246297,365.6710268728697,372.3252734573883,True,False,3,Success
"(1, 2, 1)",1,2,1,6.313440088247332,0.6466027081068176,133.34232503476917,191.4065951865436,350.72649393956175,357.2768385784673,True,True,3,Success
"(3, 1, 1)",3,1,1,5.645773133034246,0.7177609899462151,118.7371645806894,171.05422650306286,352.9680410553053,362.79355801366364,True,True,5,Success
"(3, 2, 1)",3,2,1,5.205514638166283,0.7172923136324336,111.71408960908173,171.19619095091008,341.63940760162717,351.3049150774925,True,True,5,Success
"(1, 2, 5)",1,2,5,6.674755977165314,0.7715766118766676,128.64297511875805,153.88474664276796,311.37437765727435,323.5852618542036,True,True,7,Success
"(3, 2, 5)",3,2,5,10.649690202094348,0.13644447366634893,222.6266764752022,299.2060861403946,308.8026317442104,324.066236990372,True,True,9,Success
"(3, 2, 6)",3,2,6,7.835921691890711,0.424573206192703,164.34821257960309,244.24198982330768,301.2533309132339,317.7149140893652,True,True,10,Success
"(2, 2, 5)",2,2,5,6.559236847170502,0.7813249695906719,126.83767770299649,150.56529769096213,312.78135783199195,326.5186025535374,True,True,8,Success
